ticker,sector,country,longName,currency,marketCap,regularMarketPrice,regularMarketTime,bookValue,asOfDate,EBIT,TotalAssets,TotalDebt,LongTermDebtAndCapitalLeaseObligation,CurrentAssets,CurrentLiabilities,NetPPE,CashCashEquivalentsAndShortTermInvestments,MinorityInterest,PreferredStock
1102.TW,Basic Materials,Taiwan,亞泥,TWD,149842165760,42.25,2023-12-15 13:30:29,47.41,2023-09-30,14781271000.0,335957754000.0,119199768000.0,48485017000.0,121392947000.0,84451777000.0,45297795000.0,96936608000.0,23563237000.0,
1103.TW,Basic Materials,Taiwan,嘉泥,TWD,12617820160,19.15,2023-12-15 13:30:04,32.161,2023-09-30,393151000.0,36080062000.0,11514597000.0,8429401000.0,10641592000.0,3638594000.0,5725423000.0,9992483000.0,720656000.0,
1104.TW,Basic Materials,Taiwan,環泥,TWD,20297492480,30.15,2023-12-15 13:30:20,32.658,2023-09-30,2907955000.0,28328192000.0,3133242000.0,402241000.0,6529436000.0,3891311000.0,7681746000.0,4191480000.0,791973000.0,
1108.TW,Basic Materials,Taiwan,幸福,TWD,6496044544,16.05,2023-12-15 13:30:30,12.364,2023-09-30,934496000.0,9804546000.0,3482867000.0,1552470000.0,6005588000.0,3119415000.0,3211299000.0,470060000.0,70000.0,
1109.TW,Basic Materials,Taiwan,信大,TWD,6192035840,18.15,2023-12-15 13:30:18,22.722,2023-09-30,1104283000.0,11279649000.0,234405000.0,37567000.0,6398519000.0,1247205000.0,2864316000.0,4176818000.0,1883397000.0,
1110.TW,Basic Materials,Taiwan,東泥,TWD,10799358976,18.95,2023-12-15 13:30:19,15.627,2023-09-30,304871000.0,11462656000.0,1831369000.0,744544000.0,2300255000.0,1446110000.0,1529872000.0,642570000.0,78749000.0,
1201.TW,Consumer Defensive,Taiwan,味全,TWD,9691106304,19.15,2023-12-15 13:30:40,14.231,2023-09-30,343257000.0,18933903000.0,6348700000.0,2932039000.0,7445031000.0,7739745000.0,9552948000.0,1908884000.0,7885000.0,
1203.TW,Consumer Defensive,Taiwan,味王,TWD,12693500928,53.4,2023-12-15 13:30:36,23.649,2023-09-30,904892000.0,10133726000.0,1174630000.0,164073000.0,4612695000.0,2129822000.0,3246474000.0,2234560000.0,906560000.0,
1210.TW,Consumer Defensive,Taiwan,大成,TWD,48205299712,57.0,2023-12-15 13:30:05,27.066,2023-09-30,6088549000.0,64737396000.0,21679793000.0,3103743000.0,30066408000.0,29763954000.0,26352489000.0,6614760000.0,8557257000.0,
1213.TW,Consumer Defensive,Taiwan,大飲,TWD,387864800,6.85,2023-12-15 13:30:02,5.406,2023-09-30,-80103000.0,918122000.0,465592000.0,286366000.0,117804000.0,330794000.0,771459000.0,90292000.0,,
