ticker,name,sector,most_recent_quarter,price_from,roc,earnings_yield,book_market_ratio,roc_rank,earnings_yield_rank,magic_rank
3034.TW,聯詠,Technology,2022-06-30,2022-10-07,7.2535056364760875,0.5660049818753369,0.39422222222222225,3,7,10
2609.TW,陽明,Industrials,2022-06-30,2022-10-07,1.954701465081938,4.707329522257962,1.2276497695852535,9,1,10
2603.TW,長榮,Industrials,2022-06-30,2022-10-07,1.4194452686569627,2.2346302014316217,1.3713504823151126,13,2,15
2615.TW,萬海,Industrials,2022-06-30,2022-10-07,1.3894276980994844,1.4032573781361448,0.9703005464480874,14,3,17
3706.TW,神達,Technology,2022-06-30,2022-10-07,0.931124913025614,0.6444643131803054,1.4822586520947179,18,5,23
6121.TWO,新普,Industrials,2022-06-30,2022-10-07,0.8898702524461231,0.4730601848708789,0.6273454545454545,21,12,33
2376.TW,技嘉,Technology,2022-06-30,2022-10-07,0.8098156644428566,0.3458477152131009,0.6198349056603774,22,18,40
6176.TW,瑞儀,Technology,2022-06-30,2022-10-07,0.5670861530563709,0.5305117887611991,0.6776969696969697,33,9,42
2915.TW,潤泰全,Consumer Cyclical,2022-06-30,2022-10-07,1.7973815256032266,0.19768343595561683,0.11298039215686273,10,40,50
4966.TWO,譜瑞-KY,Technology,2022-06-30,2022-10-07,7.407741828744474,0.16084875405999766,0.3314461979913917,2,54,56
2377.TW,微星,Technology,2022-06-30,2022-10-07,0.6386679698262921,0.272373385603541,0.5138967136150234,31,25,56
2454.TW,聯發科,Technology,2022-06-30,2022-10-07,1.4300868781602414,0.1813463919668562,0.43314487632508836,12,46,58
2379.TW,瑞昱,Technology,2022-06-30,2022-10-07,1.0824138609731548,0.18712880937285997,0.2901040462427745,15,44,59
2408.TW,南亞科,Technology,2022-06-30,2022-10-07,0.3997289564106121,0.5045087256405937,1.1480478087649402,50,11,61
2354.TW,鴻準,Technology,2022-06-30,2022-10-07,0.3728095254499458,0.6436047703531868,1.4968987341772153,56,6,62
2353.TW,宏碁,Technology,2022-06-30,2022-10-07,0.4954968845190657,0.2899538388083494,0.9526146788990825,40,23,63
2337.TW,旺宏,Technology,2022-06-30,2022-10-07,0.4342776150922466,0.34524803913954627,0.8200000000000001,45,19,64
6770.TW,Powerchip Semiconductor Manufacturing Corp.,Technology,2022-06-30,2022-10-07,0.4046074790738654,0.3566779640054696,0.7137228714524207,49,15,64
2303.TW,聯電,Technology,2022-06-30,2022-10-07,0.5586361485742507,0.21810336958452026,0.595611038107753,34,33,67
2357.TW,華碩,Technology,2022-06-30,2022-10-07,0.38097220145913807,0.35922628446074034,1.2200952380952381,53,14,67
3293.TWO,鈊象,Communication Services,2022-06-30,2022-10-07,5.459085554017484,0.137598279725095,0.15517696629213484,4,65,69
8299.TWO,群聯,Technology,2022-06-30,2022-10-07,0.45795952553052877,0.23676958075170254,0.6917237762237762,42,28,70
6147.TWO,頎邦,Technology,2022-06-30,2022-10-07,0.45283222662183603,0.22858522668147835,0.9820192307692307,44,29,73
1301.TW,台塑,Basic Materials,2022-06-30,2022-10-07,0.7684744316469646,0.17722812387050962,0.6933725029377203,26,48,74
5347.TWO,世界,Technology,2022-06-30,2022-10-07,0.5193442110460564,0.20628647231827366,0.3462425149700599,38,37,75
2385.TW,群光,Technology,2022-06-30,2022-10-07,0.46056851552308986,0.21636872961779577,0.5230476190476191,41,34,75
3008.TW,大立光,Technology,2022-06-30,2022-10-07,0.6876071253049778,0.16634658035094455,0.5988981029810299,28,51,79
8046.TW,南電,Technology,2022-06-30,2022-10-07,0.5476504150409268,0.16890428134366606,0.32593627450980395,36,50,86
2027.TW,大成鋼,Basic Materials,2022-06-30,2022-10-07,0.2968156289926203,0.29894296931140735,0.8370663265306122,66,21,87
9914.TW,美利達,Consumer Cyclical,2022-06-30,2022-10-07,1.03119622042693,0.12336080225966815,0.35259154929577463,17,72,89
4919.TW,新唐,Technology,2022-06-30,2022-10-07,0.7687620603868772,0.13811383977606992,0.3220796460176991,25,64,89
8464.TW,億豐,Consumer Cyclical,2022-06-30,2022-10-07,0.8093362072057999,0.13135344034929483,0.2462465208747515,23,67,90
3035.TW,智原,Technology,2022-06-30,2022-10-07,3.488694100715061,0.09351828734914944,0.21855677655677655,5,89,94
2059.TW,川湖,Consumer Cyclical,2022-06-30,2022-10-07,0.9291783955421292,0.11577884408437453,0.3000084835630965,19,75,94
2344.TW,華邦電,Technology,2022-06-30,2022-10-07,0.2654454559255859,0.29171915010160687,1.0762376237623763,74,22,96
2388.TW,威盛,Technology,2022-06-30,2022-10-07,1.052512960049037,0.10485215660865031,0.316060225846926,16,81,97
1303.TW,南亞,Basic Materials,2022-06-30,2022-10-07,0.37709938008461874,0.18327566461370667,0.7281044776119403,54,45,99
2327.TW,國巨,Technology,2022-06-30,2022-10-07,0.3061888217480497,0.2118157086504386,0.7231428571428572,63,36,99
2347.TW,聯強,Technology,2022-06-30,2022-10-07,0.2349041995784548,0.3092205478355055,0.6645588235294118,80,20,100
2383.TW,台光電,Technology,2022-06-30,2022-10-07,0.4146756089688307,0.15934860901120604,0.3758967741935484,46,55,101
3711.TW,日月光投控,Technology,2022-06-30,2022-10-07,0.28504557739049186,0.21859763755249534,0.7482682926829268,70,32,102
5483.TWO,中美晶,Technology,2022-06-30,2022-10-07,0.24635272736526326,0.25059258821108005,0.35388549618320614,77,27,104
2368.TW,金像電,Technology,2022-06-30,2022-10-07,0.4542180739345546,0.1478569646528821,0.28192349726775956,43,62,105
3037.TW,欣興,Technology,2022-06-30,2022-10-07,0.3148707639533336,0.18799253936078417,0.39347499999999996,62,43,105
6239.TW,力成,Technology,2022-06-30,2022-10-07,0.2410147208115597,0.25356834397087546,0.834383916990921,79,26,105
5269.TW,祥碩,Technology,2022-06-30,2022-10-07,2.2751904842268433,0.07744922368256184,0.30608976157082746,8,101,109
9945.TW,潤泰新,Industrials,2022-06-30,2022-10-07,0.5147015194634369,0.12210570799255574,0.24958955223880597,39,73,112
2409.TW,友達,Technology,2022-06-30,2022-09-28,0.19141923110478207,0.35510509859653494,1.5852517006802722,96,16,112
2474.TW,可成,Industrials,2022-06-30,2022-10-07,0.16368322625728673,1.039205009337202,1.258840579710145,110,4,114
1477.TW,聚陽,Consumer Cyclical,2022-06-30,2022-10-07,0.5502787523071144,0.10094754165623493,0.2785367088607595,35,83,118
2492.TW,華新科,Technology,2022-06-30,2022-10-07,0.2040320356328517,0.22702467493363274,1.1406632653061224,90,30,120
3189.TW,景碩,Technology,2022-06-30,2022-10-07,0.23030303756883364,0.19901538865795115,0.6780398009950249,83,39,122
2317.TW,鴻海,Technology,2022-06-30,2022-10-07,0.18808952097210166,0.28369608161536425,0.9333302325581395,98,24,122
3481.TW,群創,Technology,2022-06-30,2022-09-28,0.14352306922329078,0.5292668782638195,2.6285615311336277,113,10,123
2227.TW,裕日車,Consumer Cyclical,2022-06-30,2022-10-07,1.4660215742973057,0.058784512370908634,0.30836979166666667,11,113,124
3044.TW,健鼎,Technology,2022-06-30,2022-10-07,0.20433495953770733,0.21318866544726348,0.7881350482315113,89,35,124
2015.TW,豐興,Basic Materials,2022-06-30,2022-10-07,0.29344030570498564,0.15330836514429633,0.5793904448105436,68,59,127
3017.TW,奇鋐,Technology,2022-06-30,2022-10-07,0.2697148774459861,0.15826524851280915,0.3358461538461538,71,56,127
8415.TWO,大國鋼,Industrials,2022-06-30,2022-10-07,0.2937875459942651,0.15186615010234306,0.5119061583577712,67,61,128
