ticker,name,sector,most_recent_quarter,price_from,roc,earnings_yield,book_market_ratio,roc_rank,earnings_yield_rank,magic_rank
VIR,"Vir Biotechnology, Inc.",Healthcare,2022-12-31,2023-03-18,4.332059302246975,0.6195811195268299,0.6588931136459654,13,5,18
DVAX,Dynavax Technologies Corporation,Healthcare,2022-12-31,2023-03-18,1.4369844573436188,0.3430778782167863,0.4823093220338983,59,15,74
AMR,"Alpha Metallurgical Resources, Inc.",Basic Materials,2022-12-31,2023-03-18,1.250613387190302,0.8232554008086275,0.6326177902750154,77,2,79
MRNA,"Moderna, Inc.",Healthcare,2022-12-31,2023-03-18,4.113062098501071,0.18818731368060804,0.3310891881082522,15,82,97
SKY,Skyline Champion Corporation,Consumer Cyclical,2022-12-31,2023-03-18,2.907059879394147,0.18575660555377452,0.3091481703659268,23,84,107
IRWD,"Ironwood Pharmaceuticals, Inc.",Healthcare,2022-12-31,2023-03-18,2.1265354858759835,0.1897006969785414,0.4083895853423337,36,79,115
MED,"Medifast, Inc.",Consumer Cyclical,2022-12-31,2023-03-18,2.26975841613343,0.1725168427542183,0.13955231143552313,32,96,128
MRVI,"Maravai LifeSciences Holdings, Inc.",Healthcare,2022-12-31,2023-03-18,2.444803543106802,0.14546471399428268,0.2913441238564391,28,120,148
BLDR,"Builders FirstSource, Inc.",Industrials,2022-12-31,2023-03-18,1.0094608354612515,0.25695349257523004,0.44621051317268073,113,40,153
BCC,Boise Cascade Company,Basic Materials,2022-12-31,2023-03-18,0.854085245767814,0.5855307681137438,0.8535679214402618,149,6,155
ATKR,Atkore Inc.,Industrials,2022-12-31,2023-03-18,1.1176507933544022,0.20636262521617396,0.2446790605156453,91,65,156
AMN,"AMN Healthcare Services, Inc.",Healthcare,2022-12-31,2023-03-18,1.876634185952091,0.15349632122997045,0.29858614905343883,45,113,158
PFE,Pfizer Inc.,Healthcare,2022-12-31,2023-03-18,1.8714293147406214,0.1439243703814698,0.424788029925187,46,121,167
MLI,"Mueller Industries, Inc.",Industrials,2022-12-31,2023-03-18,0.9571747635557031,0.248824389812201,0.4457860385925085,125,47,172
ARCH,"Arch Resources, Inc.",Energy,2022-12-31,2023-03-18,0.8031412717614264,0.499240378362042,0.5847703525520559,163,9,172
WIRE,Encore Wire Corporation,Industrials,2022-12-31,2023-03-18,0.800160731213337,0.3691545679336633,0.5814754668831922,165,11,176
HCC,"Warrior Met Coal, Inc.",Basic Materials,2022-12-31,2023-03-18,0.7760748810149265,0.6695464294340757,0.8448598130841122,173,3,176
EVTC,"EVERTEC, Inc.",Technology,2022-12-31,2023-03-18,2.4592112008471227,0.12108283073266426,0.22046694966646455,27,159,186
